pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
1969320,1,5,5,1,34,46,34,0,0,1,15,15,14,14,1,1,1,1,16,15,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,4,4,4,1,1,1,9,2,0,40,0,32,1,33,33,7,1,2,1
9581147,1,3,3,1,82,40,82,0,0,1,25,25,43,43,1,1,1,1,55,44,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,1,1,1,1,1,4,1,4,1,1,9,2,0,140,0,0,0,3,6,10,1,1,1
6275437,1,3,3,1,58,64,58,0,0,1,31,31,37,37,8,8,7,7,31,37,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,36,0,118,0,0,0,6,67,50,1,1,1
4479162,1,1,1,1,19,13,19,0,0,1,0,0,18,18,0,0,1,1,0,18,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,2,1,1,9,1,1,1,1,3,3,3,3,3,3,1,3,3,1,2,1,0,13,0,0,2,0,1,3,1,2,3
6583617,3,3,1,1,16,20,16,0,0,1,12,12,0,0,1,1,0,0,8,0,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,4,4,4,1,4,4,4,4,1,1,1,0,23,12,0,2,0,1,1,3,1,2,1
2545979,3,2,1,3,67,32,67,0,0,1,38,38,0,0,1,1,0,0,43,0,1,1,2,1,2,2,2,1,9,1,9,9,9,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,0,53,15,0,11,0,1,2,3,1,2,1
9911618,1,3,3,1,96,40,96,0,0,1,59,59,54,54,3,3,3,3,91,57,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,4,4,1,1,4,4,1,9,5,1,45,50,80,3,80,80,14,1,1,1
7284409,1,1,1,1,29,16,29,0,0,1,8,8,8,8,4,4,4,4,10,12,1,2,2,1,2,2,1,9,9,1,9,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,1,42,20,0,1,29,29,10,1,2,1
9329925,1,2,2,1,41,31,41,0,0,1,23,23,23,23,1,1,1,1,8,8,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,1,4,1,1,9,5,0,155,1441,46,2,46,59,19,1,1,1
6985929,1,1,1,1,5,4,5,0,0,1,2,2,2,2,1,1,1,1,3,3,1,2,2,1,2,2,2,9,9,1,9,9,9,1,1,1,1,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,0,1,1,1,2,3
