_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,_id,pseudocode
137,7364652,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,059-S Andrews Ganj,,,1,1,1,5,3,110024,2,2,3,0,2,4,19,0,0,0,0,1,1,2,220,1,11,0,10,0,0,0,
142,1504123,DELHI,WEST B,2,South Delhi Municipal Corporation-Municipal Corporations,015-S Janakpuri West,,,1,3,1,5,3,110058,2,2,3,0,2,4,19,0,0,0,0,1,1,2,220,1,22,16,2,0,0,0,
143,8359239,DELHI,SOUTH WEST A,2,South Delhi Municipal Corporation-Municipal Corporations,HARI NAGAR-A,,,1,3,1,5,3,110058,2,2,3,0,2,4,19,0,0,0,0,1,1,2,217,1,39,43,0,0,0,0,
146,6521086,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,033-E Sunder Nagri,,,1,2,1,5,3,110093,2,2,3,0,2,4,19,0,0,0,0,1,1,2,223,1,0,14,0,2,0,0,
147,1759404,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,004-N Holambi Khurd,,,1,1,1,5,3,110040,2,2,3,0,2,4,0,0,0,0,0,1,2,2,220,1,0,0,2,0,0,0,
148,5173525,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,031-N Pooth Khurd,,,1,3,1,5,3,110039,2,2,3,0,2,4,0,0,0,0,0,1,1,2,226,1,8,6,0,0,0,0,
149,1860360,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,039-E Welcome Colony,,,1,1,1,5,3,110053,2,1,3,0,2,18,0,0,0,0,0,1,2,2,224,1,0,0,25,0,0,0,
150,8405901,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,012-E Patpar Ganj,,,1,1,1,5,3,110092,2,1,3,0,2,4,19,0,0,0,0,1,2,2,220,1,0,0,12,0,0,0,
151,2101768,DELHI,SOUTH,2,South Delhi Municipal Corporation-Municipal Corporations,SAID-UL-AJAIB,,,1,3,1,5,3,110047,2,2,3,0,2,4,0,0,0,0,0,1,1,2,215,1,30,24,2,1,0,0,
152,8520590,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,045-E Yamuna Vihar,,,1,1,1,5,3,110053,2,2,3,0,2,4,19,0,0,0,0,1,2,2,218,1,0,0,0,0,0,0,
153,9403108,DELHI,NORTH EAST II,2,East Delhi Municipal Corporation-Municipal Corporations,043-E Gautam Puri,,,1,2,1,5,3,110053,2,1,3,0,2,4,19,0,0,0,0,1,1,2,224,1,0,32,0,1,0,0,
154,4627373,DELHI,SOUTH WEST B-I,2,South Delhi Municipal Corporation-Municipal Corporations,052-S Mahavir Enclave,,,1,3,1,5,3,110045,2,2,3,0,2,4,19,0,0,0,0,1,1,2,220,1,63,43,7,11,0,0,
155,6679371,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,002-N Bakhtawarpur,,,1,3,1,5,3,110036,2,2,3,0,2,4,0,0,0,0,0,1,1,2,220,1,11,9,0,1,0,0,
156,2672141,DELHI,SOUTH WEST B-II,2,South Delhi Municipal Corporation-Municipal Corporations,040-S Ghuman Hera,,,1,3,1,5,3,110073,2,2,3,0,2,4,0,0,0,0,0,1,2,2,221,1,0,0,0,0,0,0,
159,3062893,DELHI,SOUTH WEST B-I,2,South Delhi Municipal Corporation-Municipal Corporations,033-S Manglapuri,,,7,3,6,10,1,110045,2,2,3,0,2,4,19,0,0,1,0,1,9,9,220,1,0,0,0,0,0,0,
