_id,pseudocode,state,district,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
5119,8485374,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,026-E Kanti Nagar,,,1,2,1,5,3,110031,2,1,3,0,2,4,19,0,0,0,0,1,1,2,213,1,0,20,0,2,0,0
5120,6738926,DELHI,SOUTH WEST B-I,2,South Delhi Municipal Corporation-Municipal Corporations,053-S Sadh Nagar,,,1,3,1,5,5,110045,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,10,11,1,0,0,0
5121,9679269,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,024-E Geeta Colony,,,1,3,1,5,5,110031,2,2,3,0,2,19,0,0,0,0,0,1,2,9,226,1,0,0,1,2,0,0
5122,5071105,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,060-E Sonia Vihar,,,2,3,1,8,5,110094,2,2,3,0,2,19,0,0,0,0,0,1,2,9,231,1,0,0,0,0,0,0
5123,3215745,DELHI,NORTH EAST I,2,,,,,1,3,1,5,5,110094,2,2,3,0,2,19,0,0,0,0,0,1,2,9,225,1,0,0,0,0,0,0
5124,9198182,DELHI,SOUTH WEST B-I,2,South Delhi Municipal Corporation-Municipal Corporations,030-S Dabri,,,1,3,1,5,5,110045,2,2,3,0,2,19,4,0,0,0,0,1,2,9,220,1,0,0,1,1,0,0
5125,2642549,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,094-S Pul Pehladpur,,,2,3,1,8,5,110044,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,64,56,0,0,0,0
5126,5313004,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,045-E Yamuna Vihar,,,2,3,1,8,5,110053,2,2,3,0,2,19,0,0,0,0,0,1,2,9,230,1,48,42,23,26,0,0
5127,2320904,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,061-E Karawal Nagar-West,,,2,3,1,8,5,110094,2,2,3,0,2,19,0,0,0,0,0,1,2,9,210,1,0,0,2,1,0,0
5128,3761703,DELHI,SOUTH WEST B-I,2,South Delhi Municipal Corporation-Municipal Corporations,047-S Dwarka-C,,,1,3,1,5,5,110077,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,17,9,0,0,0,0
5129,9044501,DELHI,NEW DELHI,2,New Delhi Municipal Council-NCT Municipal Council,ward-1,,,3,2,1,12,4,110001,2,2,3,0,2,19,0,0,0,1,1,1,2,2,220,1,0,0,0,4,0,1
5130,3953105,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,030-N Bawana,,,1,3,1,5,5,110039,2,2,3,0,2,19,4,0,0,0,0,1,2,9,220,1,2,1,0,3,0,0
5131,7442346,DELHI,NORTH,2,North Delhi Municipal Corporation-Municipal Corporations,007-N Burari,,,2,3,1,8,5,110084,2,2,3,0,2,19,0,0,0,0,0,1,2,9,220,1,0,0,0,2,0,0
5132,4032919,DELHI,SOUTH WEST B-I,2,South Delhi Municipal Corporation-Municipal Corporations,031-S Sagarpur-West,,,2,3,1,8,5,110045,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,14,14,0,0,0,0
5133,1082201,DELHI,NORTH WEST A,2,North Delhi Municipal Corporation-Municipal Corporations,077-N Model Town,,,6,3,1,10,5,110009,2,2,3,0,2,19,0,0,0,1,0,1,1,9,233,1,24,12,2,1,0,0
5134,6407224,DELHI,SOUTH WEST B-I,2,South Delhi Municipal Corporation-Municipal Corporations,038-S Dwarka-B,,,3,3,1,12,5,110075,2,2,3,0,2,19,0,0,0,1,1,1,1,9,236,1,43,38,11,4,0,0
5135,2565964,DELHI,CENTRAL,2,North Delhi Municipal Corporation-Municipal Corporations,094-N Dev Nagar,,,5,1,6,12,1,110005,2,2,3,0,2,4,0,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0
5136,7720654,DELHI,WEST B,2,North Delhi Municipal Corporation-Municipal Corporations,037-N Nangloi,,,6,3,1,10,5,110041,2,2,3,0,2,19,0,0,0,1,0,1,2,9,220,1,1,0,47,29,0,0
5137,1087310,DELHI,SOUTH EAST,2,South Delhi Municipal Corporation-Municipal Corporations,082-S Tughlakabad Extension,,,3,1,1,12,1,110019,2,1,3,0,2,4,19,0,0,1,1,1,1,1,220,1,40,0,0,0,0,0
5138,2878257,DELHI,NORTH EAST I,2,East Delhi Municipal Corporation-Municipal Corporations,052-E Joharipur,,,2,3,1,8,5,110094,2,2,3,0,2,19,0,0,0,0,0,1,2,9,230,1,0,0,1,0,0,0
5139,2700399,DELHI,WEST B,2,South Delhi Municipal Corporation-Municipal Corporations,019-S Ranhola,,,3,3,1,12,5,110041,2,2,3,0,2,19,0,0,0,1,1,1,2,9,220,1,0,0,0,0,0,0
5140,3364568,DELHI,SOUTH WEST A,2,South Delhi Municipal Corporation-Municipal Corporations,065-S R.K. Puram,,,1,3,1,5,5,110022,2,2,3,0,2,19,0,0,0,0,0,1,2,9,211,1,36,17,10,5,0,0
5141,2166068,DELHI,NORTH WEST B-II,2,North Delhi Municipal Corporation-Municipal Corporations,029-N Nangal Thakran,,,2,3,1,8,5,110081,2,2,3,0,2,19,0,0,0,0,0,1,1,9,220,1,11,3,2,6,0,0
5142,2817469,DELHI,WEST B,2,South Delhi Municipal Corporation-Municipal Corporations,029-S Bindapur,,,1,3,1,5,5,110059,2,2,3,0,2,19,0,0,0,0,0,1,2,9,220,1,0,0,23,14,0,0
5143,7658663,DELHI,CENTRAL,2,South Delhi Municipal Corporation-Municipal Corporations,055-S Daryaganj,,,3,3,1,12,5,110002,2,2,3,0,2,19,0,0,0,1,1,1,1,9,229,1,69,47,7,4,0,0
5144,7052287,DELHI,EAST,2,East Delhi Municipal Corporation-Municipal Corporations,002-E Trilokpuri-East,,,5,1,6,12,1,110091,2,1,3,0,2,4,19,0,0,1,1,1,9,9,220,1,0,0,0,0,0,0
